embedding,clustering,k,mean,std
e5,hac,2,0.74141,0.11530500085521976
e5,hac,3,0.61213,0.1136915520168495
e5,hac,4,0.5350400000000001,0.06608814568438129
e5,hac,5,0.5187,
e5,kmeans,2,0.78804,0.10757413154554298
e5,kmeans,3,0.66927,0.10193827162661835
e5,kmeans,4,0.5880799999999999,0.09605767538307389
e5,kmeans,5,0.5213,
fasttext_pretrained,hac,2,0.64863,0.17779471964412596
fasttext_pretrained,hac,3,0.50023,0.1418348887497948
fasttext_pretrained,hac,4,0.36838,0.04866217216688957
fasttext_pretrained,hac,5,0.304,
fasttext_pretrained,kmeans,2,0.68425,0.18846893790637106
fasttext_pretrained,kmeans,3,0.51568,0.08891823709953374
fasttext_pretrained,kmeans,4,0.45072,0.03045450705560672
fasttext_pretrained,kmeans,5,0.4561,
glove_pretrained,hac,2,0.71731,0.10982191088808785
glove_pretrained,hac,3,0.55077,0.09652985778734187
glove_pretrained,hac,4,0.48022,0.07307620679810906
glove_pretrained,hac,5,0.4064,
glove_pretrained,kmeans,2,0.74423,0.11249761528336699
glove_pretrained,kmeans,3,0.59562,0.08884646932270923
glove_pretrained,kmeans,4,0.50824,0.06181879164137715
glove_pretrained,kmeans,5,0.4489,
instructor,hac,2,0.72486,0.10723865596571663
instructor,hac,3,0.58525,0.10398518323940834
instructor,hac,4,0.49924,0.06774454221559104
instructor,hac,5,0.4403,
instructor,kmeans,2,0.7743300000000001,0.11558763918920277
instructor,kmeans,3,0.65482,0.11423310281077796
instructor,kmeans,4,0.58602,0.08344037991284553
instructor,kmeans,5,0.5385,
logistic_regression,supervised,2,0.81408,0.07004474442970166
logistic_regression,supervised,3,0.72295,0.06458001496851275
logistic_regression,supervised,4,0.66206,0.0535558400176862
logistic_regression,supervised,5,0.6279,
mpnet,hac,2,0.7147,0.11037655749498826
mpnet,hac,3,0.60475,0.09223560712773682
mpnet,hac,4,0.53492,0.063250826081562
mpnet,hac,5,0.452,
mpnet,kmeans,2,0.7694300000000001,0.13171926417785504
mpnet,kmeans,3,0.66513,0.10817226025598661
mpnet,kmeans,4,0.58598,0.08960238278081673
mpnet,kmeans,5,0.5404,
sbert,hac,2,0.7494,0.11349741064104597
sbert,hac,3,0.5716300000000001,0.1168546109963621
sbert,hac,4,0.51874,0.05516061094658035
sbert,hac,5,0.4443,
sbert,kmeans,2,0.76288,0.1154474753104439
sbert,kmeans,3,0.6403000000000001,0.10288940124662448
sbert,kmeans,4,0.56296,0.0790429819781617
sbert,kmeans,5,0.5223,
sroberta,hac,2,0.7075400000000001,0.12454447844489579
sroberta,hac,3,0.59206,0.09083528682914663
sroberta,hac,4,0.5097400000000001,0.05342249526182765
sroberta,hac,5,0.4794,
sroberta,kmeans,2,0.7701100000000001,0.10908781834426388
sroberta,kmeans,3,0.65912,0.10495196573247738
sroberta,kmeans,4,0.5869,0.08341363797365513
sroberta,kmeans,5,0.5397,
w2v_pretrained,hac,2,0.70445,0.14591651532449793
w2v_pretrained,hac,3,0.57042,0.14224670119197844
w2v_pretrained,hac,4,0.47501999999999994,0.09733710494975695
w2v_pretrained,hac,5,0.3005,
w2v_pretrained,kmeans,2,0.76928,0.11592648820121602
w2v_pretrained,kmeans,3,0.60033,0.11586452865307832
w2v_pretrained,kmeans,4,0.5133,0.07098489275895258
w2v_pretrained,kmeans,5,0.4581,
w2v_self,hac,2,0.72301,0.09827304875249936
w2v_self,hac,3,0.59862,0.07601340232704581
w2v_self,hac,4,0.49564,0.07147812952225314
w2v_self,hac,5,0.5123,
w2v_self,kmeans,2,0.72526,0.11135722498138843
w2v_self,kmeans,3,0.6096,0.09671588402233744
w2v_self,kmeans,4,0.5486,0.07985170630612722
w2v_self,kmeans,5,0.4861,
